SIGNED_HIGHWAY_RDBD_ID,FISCAL_YEAR,RESPONSIBLE_DISTRICT,BEG_REF_MARKER_NBR,BEG_REF_MARKER_DISP,END_REF_MARKER_NBR,END_REF_MARKER_DISP,DISTRESS_SCORE,CONDITION_SCORE,RIDE_SCORE,ACP_PATCHING_PCT,ACP_FAILURE_QTY,ACP_BLOCK_CRACKING_PCT,ACP_ALLIGATOR_CRACKING_PCT,ACP_LONGITUDE_CRACKING_PCT,ACP_TRANSVERSE_CRACKING_QTY,ACP_RAVELING_CODE,ACP_FLUSHING_CODE,ACP_RUT_AUTO_SHALLOW_AVG_PCT,ACP_RUT_AUTO_DEEP_AVG_PCT,ACP_RUT_AUTO_SEVERE_AVG_PCT,ACP_RUT_AUTO_FAILURE_AVG_PCT,IRI_LEFT_SCORE,IRI_RIGHT_SCORE,secionID,COUNTY_NBR,RESPONSIBLE_MAINT_SECT_ID,PMIS_HIGHWAY_SYSTEM,PVMNT_TYPE_BROAD_CODE,CURRENT_18KIP_MEAS,AADT_CURRENT
BS0006RK,2008,17,406,0.4,406,0.9,98,98,3.3,0,0,0,0,0,0,0,1,7,1,0,0,102,137,1,21,2,5,1,231,4100
BS0006RK,2008,17,406,0.9,406,1.4,97,97,3.3,0,0,0,0,0,0,0,0,8,1,0,0,107,137,2,21,2,5,1,231,4100
BS0006RK,2008,17,406,1.4,408,0,97,97,3.7,0,0,0,0,5,0,1,0,8,1,0,0,93,111,3,21,2,5,1,231,4100
BS0006RK,2008,17,408,0,408,0.5,98,98,4,0,0,0,0,0,0,0,0,7,1,0,0,71,95,4,21,2,5,1,702,10600
BS0006RK,2008,17,408,0.5,408,1,99,99,3.3,0,0,0,0,0,0,0,0,6,1,0,0,116,134,5,21,2,5,1,702,10600
BS0006RK,2008,17,408,1,408,1.6,94,79,2.9,0,0,0,0,0,0,0,2,12,1,0,0,161,147,6,21,2,5,1,1058,17600
BS0006RK,2008,17,408,1.6,410,0,94,61,2.6,0,0,0,0,34,1,0,0,12,0,0,0,163,180,7,21,2,5,1,1091,23000
BS0006RK,2008,17,410,0,410,0.6,93,21,1.7,0,0,0,0,38,1,0,0,12,0,0,0,245,258,8,21,2,5,1,1368,32000
BS0006RK,2008,17,410,0.6,410,1.1,86,13,1.5,0,0,0,0,11,1,0,0,24,0,0,0,263,289,9,21,2,5,1,1368,32000
BS0006RK,2008,17,410,1.1,410,1.6,86,51,2.5,0,0,0,0,18,0,0,0,24,1,0,0,162,188,10,21,2,5,1,1368,32000
BS0006RK,2008,17,410,1.6,412,0,90,59,2.6,0,0,0,0,51,0,0,0,14,0,0,0,167,182,11,21,2,5,1,1368,32000
BS0006RK,2008,17,412,0,412,0.3,95,40,2.2,0,0,0,0,43,0,0,0,10,0,0,0,192,211,12,21,2,5,1,1043,20000
BS0006RK,2008,17,412,0.3,412,0.8,97,97,3.5,0,0,0,0,51,1,0,0,4,0,0,0,105,124,13,21,2,5,1,1043,20000
BS0006RK,2008,17,412,0.8,412,1.3,77,41,2.4,11,0,0,1,21,1,0,0,12,0,0,0,163,210,14,21,2,5,1,1173,26000
BS0006RK,2008,17,412,1.3,412,1.5,74,39,2.4,11,0,0,0,38,1,0,0,17,0,0,0,151,236,15,21,2,5,1,1173,26000
BS0006RK,2008,17,412,1.5,412,1.9,97,97,3.4,0,0,0,0,57,0,0,0,3,0,0,0,112,123,16,21,2,5,1,1173,26000
BS0006RK,2008,17,412,1.9,414,0,97,69,2.7,0,0,0,0,38,1,0,0,7,0,0,0,139,182,17,21,2,5,1,1333,33000
BS0006RK,2008,17,414,0,414,0.5,98,57,2.5,0,0,0,0,21,2,0,0,7,0,0,0,159,198,18,21,2,5,1,1333,33000
BS0006RK,2008,17,414,0.5,414,0.7,94,0,0,0,0,0,0,11,3,0,0,10,0,0,0,0,0,19,21,2,5,1,1333,33000
BS0006RK,2008,17,414,1.7,416,0,0,0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,141,116,20,21,2,5,1,1785,50000
BS0006RK,2008,17,416,0,416,0.5,0,0,2.4,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,191,180,21,21,2,5,1,1785,50000
BS0006RK,2008,17,416,0.5,416,1,0,0,3.2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,136,133,22,21,2,5,1,1712,45000
BS0006RK,2008,17,416,1,416,1.5,0,0,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,120,104,23,21,2,5,1,1712,45000
BS0006RK,2008,17,416,1.5,418,0,72,72,3.6,0,0,0,2,108,2,0,0,23,0,0,0,88,123,24,21,2,5,1,1315,27000
BS0006RK,2008,17,418,0,418,0.5,96,96,3.3,0,0,0,1,39,1,0,0,9,0,0,0,115,137,25,21,2,5,1,1315,27000
BS0006RL,2008,17,0,0,406,0,97,97,3.8,0,0,0,0,0,0,0,0,8,1,0,0,84,106,26,21,2,5,1,115,2050
BS0006RL,2008,17,406,0,406,0.4,98,97,2.7,0,0,0,0,0,0,0,0,7,1,0,0,151,182,27,21,2,5,1,115,2050
BS0006RL,2008,17,414,0.7,414,1.2,93,45,2.3,0,0,0,0,30,3,0,0,10,0,0,0,217,171,28,21,2,5,1,892,25000
BS0006RL,2008,17,414,1.2,414,1.7,95,56,2.5,0,0,0,0,27,4,0,0,1,0,0,0,204,148,29,21,2,5,1,892,25000
BS0006RR,2008,17,0,0,406,0,97,97,3.8,0,0,0,0,0,0,0,0,8,1,0,0,84,106,30,21,2,5,1,115,2050
BS0006RR,2008,17,406,0,406,0.4,97,97,3.8,2,0,0,0,8,0,1,0,8,0,0,0,83,103,31,21,2,5,1,115,2050
BS0006RR,2008,17,414,0.7,414,1.2,91,90,3.2,0,0,0,0,54,3,0,0,10,0,0,0,135,125,32,21,2,5,1,892,25000
BS0006RR,2008,17,414,1.2,414,1.7,84,65,2.8,0,0,0,0,90,4,0,0,3,0,0,0,169,153,33,21,2,5,1,892,25000
BS0006SK,2008,17,0,0,426,0,77,77,3.6,0,0,0,0,136,2,0,0,1,0,0,0,94,111,34,94,10,5,1,1927,3400
BS0006SK,2008,17,426,0,426,0.5,95,95,3.8,0,0,0,0,63,1,0,0,3,0,0,0,89,102,35,94,10,5,1,1927,3400
BS0006SK,2008,17,426,0.5,426,1,94,94,4,0,0,0,0,69,2,0,0,0,0,0,0,82,86,36,94,10,5,1,1927,3400
BS0006SK,2008,17,426,1,426,1.5,94,94,4.1,0,0,0,0,66,2,0,0,0,0,0,0,71,86,37,94,10,5,1,2416,5800
BS0006SK,2008,17,426,1.5,428,0,97,97,3.4,0,0,0,0,51,2,0,0,0,0,0,0,113,126,38,94,10,5,1,2416,5800
BS0006SK,2008,17,428,0,428,0.5,89,47,2.4,0,0,0,2,78,3,0,0,1,0,0,0,193,189,39,94,10,5,1,3167,9400
BS0006SK,2008,17,428,0.5,428,1,95,91,3.1,0,0,0,3,42,1,0,0,0,0,0,0,147,136,40,94,10,5,1,3167,9400
BS0006SK,2008,17,428,1,428,1.5,98,93,3.1,0,0,0,1,45,2,0,0,1,0,0,0,142,159,41,94,10,5,1,3167,9400
BS0006SK,2008,17,428,1.5,430,0,95,95,4.2,0,0,0,2,60,1,0,0,1,0,0,0,62,85,42,94,10,5,1,2705,5000
BS0006SK,2008,17,430,0,430,0.5,93,93,4.2,0,0,0,0,72,1,0,0,0,0,0,0,70,81,43,94,10,5,1,1759,2800
BS0006SK,2008,17,430,0.5,430,1,99,99,4.1,0,0,0,0,39,1,0,0,0,0,0,0,71,85,44,94,10,5,1,883,1700
BS0006SK,2008,17,430,1,430,1.5,95,95,4.2,0,0,0,0,63,0,0,0,0,0,0,0,66,86,45,94,10,5,1,883,1700
BS0006SK,2008,17,430,1.5,432,0,100,100,4.1,0,0,0,0,24,1,0,0,0,0,0,0,72,87,46,94,10,5,1,883,1700
BS0006SK,2008,17,432,0,432,0.2,87,87,4.3,0,0,0,0,98,0,0,0,0,0,0,0,65,74,47,94,10,5,1,883,1700
