SIGNED_HIGHWAY_RDBD_ID,FISCAL_YEAR,RESPONSIBLE_DISTRICT,BEG_REF_MARKER_NBR,BEG_REF_MARKER_DISP,END_REF_MARKER_NBR,END_REF_MARKER_DISP,DISTRESS_SCORE,CONDITION_SCORE,RIDE_SCORE,ACP_PATCHING_PCT,ACP_FAILURE_QTY,ACP_BLOCK_CRACKING_PCT,ACP_ALLIGATOR_CRACKING_PCT,ACP_LONGITUDE_CRACKING_PCT,ACP_TRANSVERSE_CRACKING_QTY,ACP_RAVELING_CODE,ACP_FLUSHING_CODE,ACP_RUT_AUTO_SHALLOW_AVG_PCT,ACP_RUT_AUTO_DEEP_AVG_PCT,ACP_RUT_AUTO_SEVERE_AVG_PCT,ACP_RUT_AUTO_FAILURE_AVG_PCT,IRI_LEFT_SCORE,IRI_RIGHT_SCORE,secionID,COUNTY_NBR,RESPONSIBLE_MAINT_SECT_ID,PMIS_HIGHWAY_SYSTEM,PVMNT_TYPE_BROAD_CODE,CURRENT_18KIP_MEAS,AADT_CURRENT
BS0006RK,2011,17,406,0.4,406,0.9,100,100,3.4,0,0,0,0,0,0,0,0,0,0,0,0,99,125,1,21,2,5,1,2948,3700
BS0006RK,2011,17,406,0.9,406,1.4,100,99,3.2,0,0,0,0,8,0,0,0,0,0,0,0,127,129,2,21,2,5,1,2948,3700
BS0006RK,2011,17,406,1.4,408,0,100,100,3.6,0,0,0,0,6,0,0,0,0,0,0,0,108,105,3,21,2,5,1,2948,3700
BS0006RK,2011,17,408,0,408,0.5,100,100,3.8,0,0,0,0,5,0,0,0,0,0,0,0,91,95,4,21,2,5,1,9534,9700
BS0006RK,2011,17,408,0.5,408,1,100,100,3.4,0,0,0,0,8,0,0,0,0,0,0,0,108,125,5,21,2,5,1,9534,9700
BS0006RK,2011,17,408,1,408,1.6,100,100,3.4,0,0,0,0,18,0,0,0,1,0,0,0,109,129,6,21,2,5,1,12314,14700
BS0006RK,2011,17,408,1.6,410,0,98,76,2.8,0,0,0,0,47,2,0,0,0,0,0,0,146,173,7,21,2,5,1,13301,17700
BS0006RK,2011,17,410,0,410,0.6,88,47,2.4,0,0,0,0,73,4,0,0,0,0,0,0,131,236,8,21,2,5,1,17683,22000
BS0006RK,2011,17,410,0.6,410,1.1,96,62,2.6,0,0,0,0,51,3,0,0,0,0,0,0,123,220,9,21,2,5,1,17683,22000
BS0006RK,2011,17,410,1.1,410,1.6,93,78,2.9,0,0,0,0,48,4,0,0,2,0,0,0,106,184,10,21,2,5,1,17683,22000
BS0006RK,2011,17,410,1.6,412,0,97,81,2.9,0,0,0,0,42,3,0,0,2,0,0,0,124,179,11,21,2,5,1,17683,22000
BS0006RK,2011,17,412,0,412,0.3,89,69,2.8,0,0,0,0,68,4,0,0,0,0,0,0,123,181,12,21,2,5,1,16126,18100
BS0006RK,2011,17,412,0.3,412,0.8,88,88,3.6,0,0,0,0,90,2,0,0,0,0,0,0,93,122,13,21,2,5,1,16126,18100
BS0006RK,2011,17,412,0.8,412,1.3,91,59,2.6,0,0,0,0,72,3,0,0,0,0,0,0,123,213,14,21,2,5,1,13577,18400
