SIGNED_HIGHWAY_RDBD_ID,FISCAL_YEAR,RESPONSIBLE_DISTRICT,BEG_REF_MARKER_NBR,BEG_REF_MARKER_DISP,END_REF_MARKER_NBR,END_REF_MARKER_DISP,DISTRESS_SCORE,CONDITION_SCORE,RIDE_SCORE,ACP_PATCHING_PCT,ACP_FAILURE_QTY,ACP_BLOCK_CRACKING_PCT,ACP_ALLIGATOR_CRACKING_PCT,ACP_LONGITUDE_CRACKING_PCT,ACP_TRANSVERSE_CRACKING_QTY,ACP_RAVELING_CODE,ACP_FLUSHING_CODE,ACP_RUT_AUTO_SHALLOW_AVG_PCT,ACP_RUT_AUTO_DEEP_AVG_PCT,ACP_RUT_AUTO_SEVERE_AVG_PCT,ACP_RUT_AUTO_FAILURE_AVG_PCT,IRI_LEFT_SCORE,IRI_RIGHT_SCORE,secionID,COUNTY_NBR,RESPONSIBLE_MAINT_SECT_ID,PMIS_HIGHWAY_SYSTEM,PVMNT_TYPE_BROAD_CODE,CURRENT_18KIP_MEAS,AADT_CURRENT
BS0006RK,2010,17,406,0.4,406,0.9,100,100,3.5,0,0,0,0,3,0,1,0,0,0,0,0,97,125,1,21,2,5,1,3125,4100
BS0006RK,2010,17,406,0.9,406,1.4,98,98,3.3,3,0,0,0,2,0,0,0,1,0,0,0,108,139,2,21,2,5,1,3125,4100
BS0006RK,2010,17,406,1.4,408,0,100,100,3.7,0,0,0,0,4,0,0,0,0,0,0,0,102,95,3,21,2,5,1,3125,4100
BS0006RK,2010,17,408,0,408,0.5,100,100,3.6,0,0,0,0,5,0,1,0,0,0,0,0,96,105,4,21,2,5,1,8411,9400
BS0006RK,2010,17,408,0.5,408,1,100,99,3.2,1,0,0,0,6,0,0,0,0,0,0,0,111,142,5,21,2,5,1,8411,9400
BS0006RK,2010,17,408,1,408,1.6,100,100,3.3,0,0,0,0,10,0,0,0,0,0,0,0,109,141,6,21,2,5,1,13870,15500
BS0006RK,2010,17,408,1.6,410,0,87,73,2.9,0,0,0,2,76,4,0,0,0,0,0,0,105,194,7,21,2,5,1,15090,19000
BS0006RK,2010,17,410,0,410,0.6,91,77,2.9,0,0,0,0,78,2,0,0,0,0,0,0,105,191,8,21,2,5,1,16373,23000
BS0006RK,2010,17,410,0.6,410,1.1,98,83,2.9,0,0,0,0,45,2,0,0,0,0,0,0,108,186,9,21,2,5,1,16373,23000
BS0006RK,2010,17,410,1.1,410,1.6,88,79,3,0,0,0,0,75,4,0,0,0,0,0,0,111,180,10,21,2,5,1,16373,23000
BS0006RK,2010,17,410,1.6,412,0,83,83,3.3,0,0,0,0,95,4,0,0,0,0,0,0,90,152,11,21,2,5,1,16373,23000
BS0006RK,2010,17,412,0,412,0.3,78,74,3.1,0,0,0,0,104,5,0,0,0,0,0,0,95,170,12,21,2,5,1,14789,18100
BS0006RK,2010,17,412,0.3,412,0.8,68,65,3.1,0,0,0,0,165,4,0,0,0,0,0,0,107,165,13,21,2,5,1,14789,18100
BS0006RK,2010,17,412,0.8,412,1.3,94,73,2.8,0,0,0,0,66,2,0,0,0,0,0,0,122,197,14,21,2,5,1,15718,21000
BS0006RK,2010,17,412,1.3,412,1.5,76,76,3.6,8,0,0,0,76,4,0,0,0,0,0,0,89,119,15,21,2,5,1,15718,21000
BS0006RK,2010,17,412,1.5,412,1.9,82,82,3.3,0,0,0,0,114,2,0,0,0,0,0,0,101,144,16,21,2,5,1,15718,21000
BS0006RK,2010,17,412,1.9,414,0,88,88,3.3,0,0,0,0,91,2,0,0,0,0,0,0,90,155,17,21,2,5,1,20395,25000
BS0006RK,2010,17,414,0,414,0.6,89,80,3,0,0,0,1,71,4,0,0,0,0,0,0,114,167,18,21,2,5,1,20395,25000
BS0006RK,2010,17,416,1.4,416,1.5,100,100,3.8,0,0,0,0,0,0,0,0,0,0,0,0,96,91,19,21,2,5,1,21696,39000
